Clasificación,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,DF
Pere Milla,102,46,61,51,41,41,4.930.000,2  9  1  3  -
Laguardia,101,42,57,44,44,40,3.350.000,5  -  1  6  -
Jorge de Frutos,100,42,48,44,52,40,4.130.000,7  2  15  11  -
Kondogbia,100,53,60,60,40,44,3.470.000,4  3  12  -  -
Guido Rodríguez,99,47,51,43,48,53,4.280.000,-  7  4  3  -
Choco Lozano,99,43,33,30,66,55,3.750.000,2  0  4  5  2
Hugo Duro,98,41,45,38,53,44,5.150.000,2  5  2  2  -
Papu Gómez,98,47,60,60,38,35,4.290.000,12  4  4  -  -
Boulaye Dia,98,54,78,87,20,22,4.150.000,2  -  9  3  -
Dimitrievski,98,49,69,69,29,29,3.180.000,-2  -  -  -  -
Griezmann,97,51,40,40,57,63,11.800.000,-  -  3  8  2
Salva Sevilla,97,54,56,56,41,51,3.940.000,8  4  7  9  -
Fran García,97,40,53,44,44,37,3.050.000,-  11  3  1  -
Morales,96,38,44,34,52,43,5.520.000,5  1  11  2  -
Borja Iglesias,95,43,51,51,44,37,7.010.000,1  1  1  2  -
Álex Moreno,95,45,60,75,35,27,5.010.000,1  9  0  -  -
Januzaj,95,41,43,36,52,47,4.950.000,6  -  -  -  -
Sergi Gómez,95,38,51,43,44,34,2.900.000,2  2  -1  -  -
Albiol,94,45,37,41,57,48,3.150.000,3  -  4  4  -
Isak,93,42,51,43,42,42,8.710.000,8  -  7  3  -
Ocampos,92,46,51,51,41,41,8.730.000,-  5  -  4  -
Koundé,92,44,41,37,51,51,5.810.000,5  -5  -  9  -
Bardhi,92,44,55,55,37,34,3.000.000,1  4  4  2  -
Pacheco,92,38,62,52,30,25,2.250.000,4  4  1  10  -
Gavi,91,41,59,54,32,29,8.070.000,4  6  4  2  -
Matheus Cunha,91,46,52,52,39,39,6.150.000,8  -  -  -  -
Carvajal,91,57,39,49,52,65,5.630.000,8  6  10  8  -
Omar Alderete,91,43,50,45,41,41,2.830.000,-  1  9  -  -
Ruiz de Galarreta,91,41,43,39,48,44,2.620.000,4  6  -  -  -
Rubén Duarte,91,38,53,41,38,35,2.580.000,3  3  12  5  -
Zubimendi,91,38,44,40,47,36,2.160.000,6  4  2  2  -
Iddrisu Baba,89,47,49,49,40,44,3.330.000,-  -  -  5  -
Isi Palazón,89,34,51,39,38,29,3.010.000,1  3  1  2  -
Balliu,89,36,59,49,30,23,2.220.000,2  0  4  2  -
Roger Martí,88,42,47,52,41,34,4.210.000,-  7  3  2  -
Luis Rioja,88,33,34,24,54,42,3.230.000,2  3  1  0  -
Daniel Vivian,88,59,49,70,39,49,3.210.000,5  13  2  2  -
Adrià Pedrosa,88,35,50,36,38,35,2.290.000,1  2  0  6  -
Óscar Valentín,88,38,43,39,45,38,2.220.000,2  4  4  3  -
Manu Sánchez,88,35,38,29,50,42,1.990.000,2  2  3  2  -
Marcos Llorente,87,44,42,42,45,45,7.130.000,2  2  6  11  2
Fede Valverde,87,44,44,44,43,43,5.310.000,6  7  4  -  -
Embarba,87,36,48,40,39,33,4.030.000,-  1  3  -  -
Álex Berenguer,87,36,38,35,49,38,3.890.000,10  9  -  12  -
Mario Hermoso,87,38,57,57,30,23,2.570.000,12  2  -  -  -
Martin Valjent,87,33,56,40,31,26,1.930.000,3  4  1  0  -
Ferland Mendy,86,51,44,44,42,60,5.800.000,-  5  9  2  -
José Giménez,86,48,54,54,32,40,4.170.000,-  2  5  4  7
Nico González,86,37,40,40,46,35,4.010.000,4  0  2  2  -
Tete Morente,86,41,43,39,43,43,2.870.000,1  2  2  -1  -
Jorge Cuenca,86,37,47,39,39,35,2.680.000,-1  2  -7  -  -
Álex Fernández,86,36,43,39,43,33,2.190.000,-  -  2  2  2
Antonio Puertas,85,37,60,50,25,23,2.260.000,2  5  5  2  -
Oblak,84,30,58,41,26,19,4.190.000,0  9  8  6  1
Maxi Gómez,84,40,49,45,35,35,3.750.000,2  2  3  12  -
Savic,84,44,53,48,31,39,3.580.000,4  5  7  -  5
Edgar González,84,47,29,36,55,55,2.980.000,15  2  -  -  -
Mamadou Loum,84,38,53,48,31,28,2.060.000,12  1  5  -  -
Koke,82,37,43,39,39,35,4.720.000,3  5  -  -  1
Lekue,82,36,35,32,47,39,1.740.000,0  -  3  -  -
Gayà,81,48,46,51,35,44,4.410.000,-  1  -  -  -
Ter Stegen,81,34,40,36,41,32,4.320.000,1  5  9  2  -
David Silva,81,45,34,43,47,47,3.930.000,5  1  5  4  -
Carlos Neva,81,34,33,30,48,37,1.990.000,-  2  2  0  -
Melero,80,40,38,42,42,38,3.120.000,2  1  11  2  -
Juan Foyth,80,44,23,33,57,52,2.950.000,5  4  -  -  -
Rúben Vezo,80,38,52,43,28,31,1.570.000,1  -  -  -  -
Falcao,79,49,45,50,34,49,5.740.000,6  2  2  -  -
Sergi Guardiola,79,38,45,41,34,34,3.680.000,3  5  6  2  -
Kubo,79,44,46,51,33,37,3.290.000,5  3  11  2  -
Nacho Fernández,79,53,29,41,50,63,1.990.000,2  -  7  -  -
Morlanes,79,36,31,26,48,48,1.840.000,-4  -  -  -  -
Jesús Navas,78,56,38,63,40,50,6.680.000,-  2  4  7  -
Hugo Mallo,78,39,52,43,26,33,2.940.000,6  5  3  -2  -
Sergiño Dest,78,43,56,56,22,28,2.910.000,2  0  5  3  -
Bebé,78,37,32,36,46,38,2.190.000,3  2  2  5  -
Randy Nteka,78,35,52,43,26,26,2.190.000,6  -  2  2  -
Mitrovic,78,34,39,35,39,33,1.900.000,2  4  1  1  -
Lucas Pérez,77,33,37,41,40,29,4.140.000,2  5  2  -  2
Roberto Torres,77,45,37,34,40,67,2.780.000,2  4  4  -  -
Tomás Alarcón,77,41,41,41,36,40,2.220.000,3  -  -  -  -
Jens Jonsson,77,39,38,38,39,39,1.470.000,2  -  -  -  -
Luuk de Jong,76,51,26,52,50,50,4.680.000,11  4  9  -  -
Camavinga,76,45,52,52,24,34,3.820.000,-  -  2  11  -
Daniel Wass,76,38,45,45,31,31,3.540.000,-  -  -  -  -
Djené,76,30,37,31,39,30,2.030.000,0  6  1  3  -
Enzo Roco,76,36,42,47,34,28,1.320.000,2  6  1  5  -
Erik Lamela,75,63,46,92,29,41,3.680.000,-  -  -  -  -
Lucas Vázquez,75,44,34,43,41,46,2.500.000,-  -  -  3  -
Unai Vencedor,75,34,44,40,31,28,2.350.000,-  2  0  4  -
Néstor Araujo,75,34,32,32,43,36,2.040.000,5  3  1  1  -
Germán Sánchez,75,34,26,26,49,41,1.830.000,-  -1  2  2  -
Omar Mascarell,75,33,30,27,45,38,1.450.000,2  1  4  1  -
Montoro,75,36,28,31,47,39,1.340.000,1  4  -  2  -
Dembélé,74,74,32,107,42,60,12.560.000,5  8  17  4  -
Estupiñán,74,35,40,36,34,34,1.990.000,2  1  10  5  -
Marcos André,74,34,43,36,31,31,1.630.000,4  2  -  4  -
Gabriel Paulista,73,56,29,48,44,63,4.370.000,-  -  15  -  -
Portu,73,28,33,25,40,31,3.350.000,1  -1  2  -  -
Moi Gómez,73,35,34,31,39,39,2.310.000,-  12  3  2  -
Eden Hazard,72,42,26,33,46,51,4.460.000,6  2  -  -  -
Javi Puado,72,36,36,36,36,36,3.370.000,-1  3  2  4  -
Ángel Rodríguez,72,36,36,33,36,40,2.890.000,8  2  0  3  -
Renan Lodi,72,36,49,45,23,26,2.710.000,-  -  20  1  3
Pathé Ciss,72,36,46,42,26,29,2.000.000,2  2  2  2  -
Toni Moya,72,33,42,38,30,27,1.330.000,-  1  -  7  -
Delaney,71,39,36,40,35,39,2.540.000,5  5  5  5  -
De Marcos,71,55,30,60,41,51,1.860.000,-  8  -  3  -
Gonalons,71,36,39,39,32,32,1.500.000,4  2  -  -  -
Brasanac,71,28,31,26,40,31,1.090.000,6  0  2  4  -
Helibelton Palacios,71,36,30,33,41,37,1.010.000,2  -  -  -  -
Aidoo,70,35,39,35,31,34,2.120.000,5  4  2  -1  -
Gorosabel,70,33,41,37,29,29,2.030.000,5  1  2  -1  -
Samu Chukwueze,69,41,45,50,24,30,3.870.000,4  5  5  2  -
Aleñá,69,30,43,33,26,26,2.130.000,-  -  2  -  -
Balenziaga,69,33,27,27,42,38,1.640.000,1  -  -1  -  -
Dani García,69,28,31,28,38,27,1.540.000,1  6  2  -  -
Saveljich,69,33,39,35,30,30,1.470.000,2  3  -  2  -
Fali,69,33,30,27,39,39,1.120.000,-  4  5  -  -
Héctor Bellerín,68,38,37,41,31,34,3.490.000,4  2  3  -  -
Yeray Álvarez,68,49,22,37,46,58,2.900.000,-  -  4  5  -
